StateName,RegionID,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
AK,394595.0,317934.75,317764.0,317889.0,318290.5,318887.0,319562.75,319764.0,319570.75,319276.0,319246.75,319708.25,320380.0
AL,411830.3333333333,118055.33333333333,118550.14285714286,119064.33333333333,119568.52380952382,120066.0,120566.52380952382,121095.23809523809,121604.19047619047,122060.90476190476,122494.42857142857,122958.80952380953,123394.42857142857
AR,412656.2,96290.95,96615.1,96954.55,97322.35,97688.05,97999.3,98303.75,98606.8,98921.95,99194.95,99581.25,100010.35
AZ,394988.7272727273,208426.0909090909,209727.36363636365,211044.72727272726,212294.72727272726,213346.9090909091,214584.27272727274,215742.54545454544,216934.9090909091,217927.63636363635,218887.45454545456,219926.0,220947.72727272726
CA,426591.23529411765,434574.23529411765,437955.0588235294,441246.5294117647,443959.67647058825,446908.0,449443.9117647059,451744.23529411765,452603.4705882353,452449.3823529412,452101.35294117645,452057.5588235294,451783.32352941175
CO,479177.1176470588,381078.4705882353,383639.82352941175,385937.82352941175,388335.76470588235,390580.29411764705,392762.9411764706,394795.70588235295,396389.8823529412,397796.70588235295,399154.35294117645,401094.0,402829.17647058825
CT,394815.6,296893.2,296774.2,297005.0,297479.4,297778.4,298584.4,299171.6,299796.2,299656.8,299557.8,299165.4,299411.2
DC,395209.0,422283.0,422824.0,424384.0,426040.0,428224.0,430025.0,431464.0,432004.0,432261.0,432547.0,432811.0,434009.0
DE,394795.0,228742.5,230255.5,231859.5,233092.5,233720.5,233982.0,234404.0,234694.0,235088.5,235583.5,236568.0,237679.5
FL,419623.5517241379,209733.4827586207,210476.6896551724,211334.24137931035,212376.3448275862,213681.6896551724,214896.7931034483,215908.8275862069,216796.6896551724,217678.93103448275,218559.55172413794,219424.41379310345,220430.37931034484
GA,404463.7837837838,122608.54054054055,123114.13513513513,123659.21621621621,124329.43243243243,125084.0,125755.7027027027,126371.35135135135,126891.35135135135,127382.0,127842.97297297297,128511.45945945945,129289.86486486487
HI,484517.75,604377.5,607023.0,608978.5,610173.0,610759.5,612157.5,614377.0,616987.5,619058.0,620093.25,621286.75,622159.0
IA,411875.5238095238,139414.33333333334,139795.95238095237,140159.38095238095,140626.14285714287,141062.2857142857,141309.90476190476,141512.2380952381,141738.0,142120.0,142446.0,142743.19047619047,143037.2380952381
ID,449995.3846153846,237014.53846153847,239335.92307692306,241444.76923076922,243624.07692307694,245838.07692307694,248362.38461538462,250762.6923076923,252924.76923076922,254634.15384615384,256650.92307692306,259011.84615384616,261289.6923076923
IL,408049.48148148146,107572.48148148147,107730.51851851853,107940.55555555556,108196.92592592593,108495.48148148147,108723.74074074074,108925.07407407407,109113.96296296296,109277.74074074074,109451.37037037036,109654.33333333333,109931.4074074074
IN,404753.80555555556,118332.47222222222,118994.33333333333,119652.91666666667,120367.94444444444,121037.83333333333,121701.63888888889,122438.13888888889,123135.80555555556,123712.05555555556,124178.69444444444,124714.94444444444,125343.58333333333
KS,448642.85,117099.95,117421.75,117786.8,118209.8,118655.65,119046.65,119221.2,119339.15,119558.15,119939.15,120388.65,120680.9
KY,412730.05,117256.75,117729.7,118170.55,118598.95,119040.9,119518.5,119989.5,120359.6,120623.9,120849.8,121123.15,121466.3
LA,394711.35294117645,133534.64705882352,133485.17647058822,133484.11764705883,133444.0,133445.23529411765,133561.29411764705,133729.11764705883,133958.4705882353,134140.64705882352,134422.58823529413,134696.35294117648,134931.88235294117
MA,497415.5714285714,381637.85714285716,383955.5714285714,385393.85714285716,386516.85714285716,387428.71428571426,389235.4285714286,391359.14285714284,393088.14285714284,393894.5714285714,394430.14285714284,395159.5714285714,395864.14285714284
MD,454398.3333333333,217507.83333333334,218426.66666666666,219757.33333333334,220893.33333333334,221790.83333333334,222276.0,222480.0,222309.33333333334,222225.0,222056.83333333334,222450.33333333334,222849.83333333334
ME,394624.25,186664.5,188029.25,189484.5,190305.0,191289.25,192287.25,193563.5,194581.0,195224.0,195684.5,196101.75,196808.25
MI,438225.8484848485,133790.9090909091,134710.57575757575,135588.63636363635,136329.0303030303,136956.24242424243,137709.48484848486,138503.0303030303,139291.18181818182,139819.0303030303,140366.69696969696,140852.0,141434.63636363635
MN,394771.7,181587.1,182700.55,183680.4,184726.65,185360.85,185980.1,186444.1,187114.95,187702.95,188442.9,189236.3,189951.6
MO,394841.24,123719.16,124168.16,124694.88,125196.84,125789.52,126402.6,127031.84,127560.56,127880.24,128128.56,128399.96,128795.6
MS,394768.4,106906.3,107225.7,107503.35,107873.95,108190.3,108609.5,108943.15,109370.9,109713.9,110180.8,110555.5,110923.7
MT,394591.71428571426,262770.85714285716,263717.4285714286,264883.85714285716,266626.14285714284,268641.14285714284,270901.28571428574,272959.71428571426,273959.0,274634.71428571426,275314.5714285714,276618.28571428574,277876.85714285716
NC,431606.1282051282,155934.8205128205,156604.71794871794,157233.92307692306,157898.66666666666,158530.4358974359,159217.64102564103,159877.71794871794,160535.15384615384,161120.05128205128,161696.15384615384,162314.5641025641,162930.92307692306
ND,394769.25,211855.75,211750.75,211861.25,211927.375,212001.75,211721.5,211467.25,211382.5,211444.875,211426.25,211544.25,211820.625
NE,394746.6666666667,143227.41666666666,143916.0,144503.58333333334,145140.75,145888.41666666666,146693.5,147356.83333333334,147974.83333333334,148564.83333333334,149153.66666666666,149955.41666666666,150814.41666666666
NH,394610.1666666667,218357.16666666666,219302.16666666666,220100.33333333334,221177.83333333334,222201.5,223397.5,224234.33333333334,225172.66666666666,225916.83333333334,226620.83333333334,227151.66666666666,227809.5
NJ,394908.25,233625.0,234490.5,234898.0,235162.75,235432.75,235993.5,236763.75,237735.0,238512.0,239331.25,239752.75,239950.75
NM,394731.76470588235,154791.23529411765,155422.0,156098.76470588235,156800.76470588235,157304.5294117647,157731.29411764705,158097.58823529413,158578.4705882353,159321.23529411765,160105.5294117647,161125.41176470587,162083.9411764706
NV,434609.8888888889,271438.3333333333,274513.22222222225,277532.6666666667,281040.6666666667,284301.44444444444,287809.6666666667,290544.8888888889,293092.1111111111,294705.1111111111,296189.8888888889,297397.8888888889,298917.77777777775
