StateName,RegionID,SizeRank,9/30/2016,9/30/2020,% of Inc
AK,394545.6666666667,443.3333333333333,308825.0,331185.0,0.06899816243649977
AL,411830.3333333333,374.6190476190476,112818.80952380953,135227.47619047618,0.19049128498412987
AR,412656.2,571.25,91220.9,106684.9,0.1654654186178056
AZ,394988.7272727273,325.27272727272725,191720.18181818182,248400.0,0.29503448721776576
CA,426591.23529411765,222.5,396921.45454545453,480126.79411764705,0.2308776679418976
CO,479177.1176470588,494.7647058823529,348916.35294117645,427329.9411764706,0.2337379441705542
CT,394815.6,110.6,284310.4,317361.6,0.1268123467849179
DC,395209.0,7.0,402366.0,469854.0,0.16772788953340978
DE,394795.0,192.5,218475.0,256360.5,0.17414756025900058
FL,419623.5517241379,269.7931034482759,193960.9655172414,238672.2068965517,0.26173418423925215
GA,404463.7837837838,514.5135135135135,113790.0,138038.97297297296,0.20579951084296425
HI,484517.75,256.75,565068.0,651660.25,0.15679433416012972
IA,411875.5238095238,584.3333333333334,132018.04761904763,149531.47619047618,0.13044317314180187
ID,449995.3846153846,538.9230769230769,210784.46153846153,298052.92307692306,0.42055992914792284
IL,408049.48148148146,471.3333333333333,103386.77777777778,113626.03703703704,0.09639646549641619
IN,404753.80555555556,544.3333333333334,109792.05555555556,136857.02777777778,0.24170223686561687
KS,448642.85,666.25,112077.65,127267.5,0.12602412610926908
KY,412730.05,511.75,108857.45,129529.55,0.18333998122284814
LA,394711.35294117645,392.52941176470586,128942.76470588235,138872.0,0.07500429926461667
MA,497415.5714285714,293.2857142857143,353137.28571428574,421934.0,0.1968394813228854
MD,454398.3333333333,409.0,207440.16666666666,232897.5,0.11591960564527863
ME,394624.25,263.0,171304.75,221704.5,0.2944324298488651
MI,438225.8484848485,430.3030303030303,122548.36363636363,154288.33333333334,0.25779734670887666
MN,394771.7,567.95,165808.85,202770.55,0.21999743773513183
MO,394841.24,544.52,115991.28,138074.12,0.19005297390987685
MS,394768.4,544.35,105398.36842105263,117285.65,0.125163252690388
MT,394591.71428571426,443.0,244305.2857142857,310503.28571428574,0.2541552058485338
NC,431606.1282051282,398.0769230769231,147372.8205128205,176773.58974358975,0.19692005165140566
ND,394769.25,618.125,205716.375,217316.125,0.0630478286478874
NE,394746.6666666667,612.8333333333334,131178.66666666666,160558.41666666666,0.2190568826244584
NH,394610.1666666667,382.6666666666667,202116.16666666666,249921.83333333334,0.22617959262076837
NJ,394908.25,238.5,224626.5,264249.25,0.16858654448350796
NM,394731.76470588235,593.0,149747.29411764705,177432.41176470587,0.17435593745849515
NV,434609.8888888889,546.6666666666666,236536.33333333334,316904.6666666667,0.33909149339519484
NY,394732.5,355.0,139171.6923076923,163900.1923076923,0.17552330086650014
OH,426718.0888888889,454.0,106253.17777777778,131578.0888888889,0.23473384152900895
OK,411866.7619047619,602.0952380952381,92457.76190476191,105705.33333333333,0.14228800748970008
OR,448572.65,503.15,246387.73684210525,308954.3,0.2824247760612923
PA,394818.73529411765,355.8529411764706,129215.32352941176,152549.20588235295,0.1753169432633511
RI,395005.0,38.0,278943.0,347003.0,0.2439925002599097
SC,394749.8,346.2,146678.06666666668,174840.2,0.19884325280657528
SD,394920.63636363635,745.6363636363636,161192.45454545456,191191.9090909091,0.18500771031134133
TN,408578.46153846156,458.38461538461536,122634.38461538461,157236.07692307694,0.27486276939790283
TX,405319.45588235295,534.5588235294117,125475.56060606061,149517.29411764705,0.1893434865863338
UT,430814.1,479.1,292877.2,388375.2,0.32335390056791663
VA,424762.8333333333,265.9166666666667,170787.0,197733.08333333334,0.14764579356580826
VT,394554.25,497.5,220663.25,255246.0,0.15386683037502108
WA,412806.8,382.0,243734.15,338689.15,0.3987406747151561
WI,424751.125,377.1666666666667,141808.66666666666,178745.375,0.2588119625248805
WV,459962.0,435.3636363636364,89011.90909090909,99730.63636363637,0.12008734907909871
WY,394750.1111111111,680.5555555555555,255011.88888888888,294520.55555555556,0.1413459671117997
