RegionID,SizeRank,RegionName,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
394913,1,"New York, NY",NY,452730,455136,457694,460265,462417,464374,465525,466590,467651,469184,470717,472008
753899,2,"Los Angeles-Long Beach-Anaheim, CA",CA,664856,669028,673071,677499,680888,684463,686365,686574,685469,686037,686710,686309
394463,3,"Chicago, IL",IL,239927,240790,241273,241839,242638,243734,244468,245091,245602,246040,246459,246711
394514,4,"Dallas-Fort Worth, TX",TX,240758,242433,244286,246029,247480,248882,250072,251158,251852,252828,253880,255332
394974,5,"Philadelphia, PA",PA,236313,237405,238834,240256,241354,242116,242833,243386,244052,244641,245520,246257
394692,6,"Houston, TX",TX,209788,210274,210871,211923,213070,214032,214741,215720,216660,217388,217839,218386
395209,7,"Washington, DC",DC,422283,422824,424384,426040,428224,430025,431464,432004,432261,432547,432811,434009
394856,8,"Miami-Fort Lauderdale, FL",FL,315723,317570,319697,321514,323545,325049,326881,328019,328942,329357,330952,332496
394347,9,"Atlanta, GA",GA,213883,215719,217198,218603,220108,221810,223480,225069,226564,228122,229543,230710
394404,10,"Boston, MA",MA,479507,481933,485224,488148,490883,493151,494838,496015,496017,496910,497262,498326
395057,11,"San Francisco, CA",CA,1081013,1090256,1100913,1114595,1130587,1143087,1151175,1157739,1159313,1159198,1153893,1143474
394532,12,"Detroit, MI",MI,164295,165664,167183,168571,169876,171234,172362,173262,174089,174960,175891,176897
395025,13,"Riverside, CA",CA,358863,361830,364292,366479,368976,371062,373016,373578,374664,374601,375329,375156
394976,14,"Phoenix, AZ",AZ,256167,258243,260123,261770,263474,265203,266741,267950,269243,270294,271258,272372
395078,15,"Seattle, WA",WA,494820,501463,507659,512867,516924,519476,519895,519597,520778,521947,522263,520524
394865,16,"Minneapolis-St Paul, MN",MN,272659,274574,276496,278131,279607,280755,281860,283131,284258,285407,286324,287263
395056,17,"San Diego, CA",CA,596027,601991,605352,604754,603946,605316,607680,610168,610427,610708,610704,610196
395121,18,"St. Louis, MO",MO,168956,169290,169978,170668,171596,172183,172858,173480,173976,174578,175188,175903
395148,19,"Tampa, FL",FL,207075,208688,210737,212519,213790,214963,215963,216981,218133,219394,220456,221703
