RegionID,SizeRank,RegionName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
394913,1,"New York, NY",400000,397500,397575,410000,420000,435000,440000,442000,425125,418000,416000,409000
753899,2,"Los Angeles-Long Beach-Anaheim, CA",607500,635000,645000,646500,665000,669000,660000,660000,650000,650000,650000,635000
394463,3,"Chicago, IL",224900,225000,235000,248000,251000,260000,254000,245000,240000,234250,232000,230000
394514,4,"Dallas-Fort Worth, TX",249000,257013,266945,267190,276000,281862,275000,270000,262500,259900,260000,265000
394974,5,"Philadelphia, PA",222500,220000,230000,235000,242000,250000,254000,255000,245000,235000,238950,238000
394692,6,"Houston, TX",220000,225250,235000,243000,246000,246295,246000,241000,235000,235000,235000,242500
395209,7,"Washington, DC",387250,389000,406750,416150,422000,425000,429000,420000,407000,400000,405000,415000
394856,8,"Miami-Fort Lauderdale, FL",315000,315000,330000,322700,325000,337000,327500,326530,330000,335000,335000,332900
394347,9,"Atlanta, GA",225000,230000,240000,245000,250500,255263,249000,241000,249900,245000,245000,249900
394404,10,"Boston, MA",435000,425000,435000,460000,475000,500000,495000,485000,449000,450000,455000,440000
395057,11,"San Francisco, CA",703750,775000,831000,852500,875000,880500,855000,815000,800000,835000,805000,760000
394532,12,"Detroit, MI",167000,164000,179000,179925,196700,200000,200000,198700,186900,180000,183950,180785
395025,13,"Riverside, CA",355000,367000,364990,368000,370000,373000,371000,363400,370000,365000,365000,365000
394976,14,"Phoenix, AZ",260199,269900,268336,265000,277469,278151,277000,277000,279000,279000,282500,283000
395078,15,"Seattle, WA",450750,484829,492950,523000,515000,516610,507000,491975,487110,490000,487469,487000
394865,16,"Minneapolis-St Paul, MN",249500,257490,261000,265050,271750,270000,270000,270000,265000,270000,270000,267000
395056,17,"San Diego, CA",569000,580000,605000,604500,617000,625000,627000,631500,628250,616403,625000,603000
395121,18,"St. Louis, MO",170000,175900,179000,185173,195000,200000,195313,193000,183250,182000,180000,187000
395148,19,"Tampa, FL",218200,220000,229990,228000,230000,240000,236000,233000,234900,231000,238000,237800
394358,20,"Baltimore, MD",275000,265000,285000,291280,295000,305000,310000,305126,302425,299900,300000,295000
394530,21,"Denver, CO",417500,428000,437775,451000,450000,450000,445000,442750,430000,435000,433287,430000
394982,22,"Pittsburgh, PA",150000,155000,163885,163000,168800,184900,177000,173250,167000,157750,160000,164000
394998,23,"Portland, OR",389998,385000,391750,400500,405000,412000,400000,410000,399000,395000,396950,391000
394458,24,"Charlotte, NC",227000,235000,241000,246500,247000,260000,250000,252500,242000,245000,250000,253890
395045,25,"Sacramento, CA",385000,400000,410000,416000,420000,425000,419000,415000,420000,409250,415000,410000
395055,26,"San Antonio, TX",214000,212000,222000,220000,230000,234000,230000,230000,222500,225000,225000,225000
394943,27,"Orlando, FL",260000,255000,260000,262000,265000,269900,269490,268000,275000,270000,270000,274900
394466,28,"Cincinnati, OH",170000,174700,184500,184500,189900,190000,191000,192500,180000,181250,189900,184900
394475,29,"Cleveland, OH",137000,137500,144900,150000,155000,161825,155000,157000,154450,149000,150000,147000
394735,30,"Kansas City, MO",203120,199900,211000,215000,221000,225000,220000,214300,207500,215000,214975,205845
394775,31,"Las Vegas, NV",276130,286653,289900,298000,302069,300000,299900,300000,310000,309000,312365,318109
394492,32,"Columbus, OH",203375,202400,202000,205000,214900,227500,213000,215500,213000,215000,207000,215000
394705,33,"Indianapolis, IN",164000,170000,179900,180350,190000,198000,188000,183900,184825,180000,184350,185000
395059,34,"San Jose, CA",955000,1146500,1200000,1180000,1190000,1160000,1100000,1150000,1050000,1100000,1020000,970000
394355,35,"Austin, TX",291750,299900,299209,311500,318855,325000,315000,320000,301500,305000,299990,304990
395194,36,"Virginia Beach, VA",240000,248775,247000,245500,258950,265000,257613,253000,249400,249900,245000,242000
394902,37,"Nashville, TN",265000,269418,273950,276950,280215,289510,291000,285000,270000,279900,278150,290000
395005,38,"Providence, RI",257000,260750,274900,275000,279900,295000,295000,285000,289000,280000,280000,276500
394862,39,"Milwaukee, WI",158000,162000,170000,184000,177000,198000,199900,194900,187500,184950,180000,167750
